county_fips,state_fips,county_name,match_key
48001,48,Anderson,anderson
48003,48,Andrews,andrews
48005,48,Angelina,angelina
48007,48,Aransas,aransas
48009,48,Archer,archer
48011,48,Armstrong,armstrong
48013,48,Atascosa,atascosa
48015,48,Austin,austin
48017,48,Bailey,bailey
48019,48,Bandera,bandera
48021,48,Bastrop,bastrop
48023,48,Baylor,baylor
48025,48,Bee,bee
48027,48,Bell,bell
48029,48,Bexar,bexar
48031,48,Blanco,blanco
48033,48,Borden,borden
48035,48,Bosque,bosque
48037,48,Bowie,bowie
48039,48,Brazoria,brazoria
48041,48,Brazos,brazos
48043,48,Brewster,brewster
48045,48,Briscoe,briscoe
48047,48,Brooks,brooks
48049,48,Brown,brown
48051,48,Burleson,burleson
48053,48,Burnet,burnet
48055,48,Caldwell,caldwell
48057,48,Calhoun,calhoun
48059,48,Callahan,callahan
48061,48,Cameron,cameron
48063,48,Camp,camp
48065,48,Carson,carson
48067,48,Cass,cass
48069,48,Castro,castro
48071,48,Chambers,chambers
48073,48,Cherokee,cherokee
48075,48,Childress,childress
48077,48,Clay,clay
48079,48,Cochran,cochran
48081,48,Coke,coke
48083,48,Coleman,coleman
48085,48,Collin,collin
48087,48,Collingsworth,collingsworth
48089,48,Colorado,colorado
48091,48,Comal,comal
48093,48,Comanche,comanche
48095,48,Concho,concho
48097,48,Cooke,cooke
48099,48,Coryell,coryell
48101,48,Cottle,cottle
48103,48,Crane,crane
48105,48,Crockett,crockett
48107,48,Crosby,crosby
48109,48,Culberson,culberson
48111,48,Dallam,dallam
48113,48,Dallas,dallas
48115,48,Dawson,dawson
48117,48,Deaf Smith,deafsmith
48119,48,Delta,delta
48121,48,Denton,denton
48123,48,DeWitt,dewitt
48125,48,Dickens,dickens
48127,48,Dimmit,dimmit
48129,48,Donley,donley
48131,48,Duval,duval
48133,48,Eastland,eastland
48135,48,Ector,ector
48137,48,Edwards,edwards
48139,48,Ellis,ellis
48141,48,El Paso,elpaso
48143,48,Erath,erath
48145,48,Falls,falls
48147,48,Fannin,fannin
48149,48,Fayette,fayette
48151,48,Fisher,fisher
48153,48,Floyd,floyd
48155,48,Foard,foard
48157,48,Fort Bend,fortbend
48159,48,Franklin,franklin
48161,48,Freestone,freestone
48163,48,Frio,frio
48165,48,Gaines,gaines
48167,48,Galveston,galveston
48169,48,Garza,garza
48171,48,Gillespie,gillespie
48173,48,Glasscock,glasscock
48175,48,Goliad,goliad
48177,48,Gonzales,gonzales
48179,48,Gray,gray
48181,48,Grayson,grayson
48183,48,Gregg,gregg
48185,48,Grimes,grimes
48187,48,Guadalupe,guadalupe
48189,48,Hale,hale
48191,48,Hall,hall
48193,48,Hamilton,hamilton
48195,48,Hansford,hansford
48197,48,Hardeman,hardeman
48199,48,Hardin,hardin
48201,48,Harris,harris
48203,48,Harrison,harrison
48205,48,Hartley,hartley
48207,48,Haskell,haskell
48209,48,Hays,hays
48211,48,Hemphill,hemphill
48213,48,Henderson,henderson
48215,48,Hidalgo,hidalgo
48217,48,Hill,hill
48219,48,Hockley,hockley
48221,48,Hood,hood
48223,48,Hopkins,hopkins
48225,48,Houston,houston
48227,48,Howard,howard
48229,48,Hudspeth,hudspeth
48231,48,Hunt,hunt
48233,48,Hutchinson,hutchinson
48235,48,Irion,irion
48237,48,Jack,jack
48239,48,Jackson,jackson
48241,48,Jasper,jasper
48243,48,Jeff Davis,jeffdavis
48245,48,Jefferson,jefferson
48247,48,Jim Hogg,jimhogg
48249,48,Jim Wells,jimwells
48251,48,Johnson,johnson
48253,48,Jones,jones
48255,48,Karnes,karnes
48257,48,Kaufman,kaufman
48259,48,Kendall,kendall
48261,48,Kenedy,kenedy
48263,48,Kent,kent
48265,48,Kerr,kerr
48267,48,Kimble,kimble
48269,48,King,king
48271,48,Kinney,kinney
48273,48,Kleberg,kleberg
48275,48,Knox,knox
48277,48,Lamar,lamar
48279,48,Lamb,lamb
48281,48,Lampasas,lampasas
48283,48,La Salle,lasalle
48285,48,Lavaca,lavaca
48287,48,Lee,lee
48289,48,Leon,leon
48291,48,Liberty,liberty
48293,48,Limestone,limestone
48295,48,Lipscomb,lipscomb
48297,48,Live Oak,liveoak
48299,48,Llano,llano
48301,48,Loving,loving
48303,48,Lubbock,lubbock
48305,48,Lynn,lynn
48307,48,McCulloch,mcculloch
48309,48,McLennan,mclennan
48311,48,McMullen,mcmullen
48313,48,Madison,madison
48315,48,Marion,marion
48317,48,Martin,martin
48319,48,Mason,mason
48321,48,Matagorda,matagorda
48323,48,Maverick,maverick
48325,48,Medina,medina
48327,48,Menard,menard
48329,48,Midland,midland
48331,48,Milam,milam
48333,48,Mills,mills
48335,48,Mitchell,mitchell
48337,48,Montague,montague
48339,48,Montgomery,montgomery
48341,48,Moore,moore
48343,48,Morris,morris
48345,48,Motley,motley
48347,48,Nacogdoches,nacogdoches
48349,48,Navarro,navarro
48351,48,Newton,newton
48353,48,Nolan,nolan
48355,48,Nueces,nueces
48357,48,Ochiltree,ochiltree
48359,48,Oldham,oldham
48361,48,Orange,orange
48363,48,Palo Pinto,palopinto
48365,48,Panola,panola
48367,48,Parker,parker
48369,48,Parmer,parmer
48371,48,Pecos,pecos
48373,48,Polk,polk
48375,48,Potter,potter
48377,48,Presidio,presidio
48379,48,Rains,rains
48381,48,Randall,randall
48383,48,Reagan,reagan
48385,48,Real,real
48387,48,Red River,redriver
48389,48,Reeves,reeves
48391,48,Refugio,refugio
48393,48,Roberts,roberts
48395,48,Robertson,robertson
48397,48,Rockwall,rockwall
48399,48,Runnels,runnels
48401,48,Rusk,rusk
48403,48,Sabine,sabine
48405,48,San Augustine,sanaugustine
48407,48,San Jacinto,sanjacinto
48409,48,San Patricio,sanpatricio
48411,48,San Saba,sansaba
48413,48,Schleicher,schleicher
48415,48,Scurry,scurry
48417,48,Shackelford,shackelford
48419,48,Shelby,shelby
48421,48,Sherman,sherman
48423,48,Smith,smith
48425,48,Somervell,somervell
48427,48,Starr,starr
48429,48,Stephens,stephens
48431,48,Sterling,sterling
48433,48,Stonewall,stonewall
48435,48,Sutton,sutton
48437,48,Swisher,swisher
48439,48,Tarrant,tarrant
48441,48,Taylor,taylor
48443,48,Terrell,terrell
48445,48,Terry,terry
48447,48,Throckmorton,throckmorton
48449,48,Titus,titus
48451,48,Tom Green,tomgreen
48453,48,Travis,travis
48455,48,Trinity,trinity
48457,48,Tyler,tyler
48459,48,Upshur,upshur
48461,48,Upton,upton
48463,48,Uvalde,uvalde
48465,48,Val Verde,valverde
48467,48,Van Zandt,vanzandt
48469,48,Victoria,victoria
48471,48,Walker,walker
48473,48,Waller,waller
